transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00559,CHB02,Velachery,Chennai,05-05-2024,4103.89,FAILURE,DEPOSIT,5135,Technical Error,IDBI BANK,620019
TXN00674,CHB02,Velachery,Chennai,03-05-2024,3209.09,FAILURE,DEPOSIT,4773,Exceeded Limit,IDBI BANK,621642
TXN00444,CHB02,Velachery,Chennai,07-05-2024,767.11,FAILURE,WITHDRAWAL,9720,Invalid Account,IDBI BANK,635309
TXN00207,CHB02,Velachery,Chennai,07-05-2024,1144.63,SUCCESS,TRANSFER,7566,,IDBI BANK,604561
TXN00098,CHB02,Velachery,Chennai,07-05-2024,591.71,SUCCESS,DEPOSIT,4908,,IDBI BANK,608273
TXN00206,CHB02,Velachery,Chennai,03-05-2024,3662.14,SUCCESS,WITHDRAWAL,6567,,IDBI BANK,623005
TXN00210,CHB02,Velachery,Chennai,02-05-2024,3894.96,SUCCESS,DEPOSIT,2336,,IDBI BANK,617833
TXN00060,CHB02,Velachery,Chennai,07-05-2024,4148.47,SUCCESS,WITHDRAWAL,1406,,IDBI BANK,611755
TXN00654,CHB02,Velachery,Chennai,05-05-2024,4256.37,FAILURE,DEPOSIT,2877,Network Error,IDBI BANK,603565
TXN00533,CHB02,Velachery,Chennai,02-05-2024,3371.86,FAILURE,DEPOSIT,8758,Insufficient Balance,IDBI BANK,620209
TXN00502,CHB02,Velachery,Chennai,05-05-2024,2449.2,FAILURE,TRANSFER,7471,Exceeded Limit,IDBI BANK,601933
TXN00668,CHB02,Velachery,Chennai,05-05-2024,4584.77,FAILURE,WITHDRAWAL,7358,Exceeded Limit,IDBI BANK,629796
TXN00026,CHB02,Velachery,Chennai,06-05-2024,2638.77,SUCCESS,TRANSFER,3705,,IDBI BANK,617371
TXN00394,CHB02,Velachery,Chennai,07-05-2024,3615.29,FAILURE,TRANSFER,8790,Invalid Account,IDBI BANK,603052
TXN00541,CHB02,Velachery,Chennai,01-05-2024,2405.19,FAILURE,TRANSFER,8133,Network Error,IDBI BANK,609692
TXN00636,CHB02,Velachery,Chennai,06-05-2024,1993.48,FAILURE,WITHDRAWAL,5809,Network Error,IDBI BANK,634767
TXN00177,CHB02,Velachery,Chennai,04-05-2024,612.61,SUCCESS,TRANSFER,6374,,IDBI BANK,614508
TXN00080,CHB02,Velachery,Chennai,06-05-2024,3594.3,SUCCESS,DEPOSIT,7965,,IDBI BANK,614342
TXN00014,CHB02,Velachery,Chennai,05-05-2024,4443.65,SUCCESS,WITHDRAWAL,4483,,IDBI BANK,632718
TXN00281,CHB02,Velachery,Chennai,07-05-2024,833.23,SUCCESS,DEPOSIT,8292,,IDBI BANK,605754
TXN00611,CHB02,Velachery,Chennai,01-05-2024,2036.11,FAILURE,TRANSFER,5783,Technical Error,IDBI BANK,634209
TXN00129,CHB02,Velachery,Chennai,03-05-2024,3681.3,SUCCESS,TRANSFER,8438,,IDBI BANK,604665
TXN00186,CHB02,Velachery,Chennai,07-05-2024,3040.6,SUCCESS,DEPOSIT,4394,,IDBI BANK,614153
TXN00667,CHB02,Velachery,Chennai,07-05-2024,2694.39,FAILURE,DEPOSIT,5331,Invalid Account,IDBI BANK,615337
TXN00345,CHB02,Velachery,Chennai,04-05-2024,1189.34,SUCCESS,TRANSFER,7121,,IDBI BANK,627253
TXN00167,CHB02,Velachery,Chennai,04-05-2024,3073.65,SUCCESS,TRANSFER,5847,,IDBI BANK,619349
TXN00360,CHB02,Velachery,Chennai,04-05-2024,2057.72,SUCCESS,WITHDRAWAL,4088,,IDBI BANK,607396
TXN00267,CHB02,Velachery,Chennai,03-05-2024,2106.38,SUCCESS,DEPOSIT,6438,,IDBI BANK,617906
TXN00185,CHB02,Velachery,Chennai,06-05-2024,3377.72,SUCCESS,DEPOSIT,1828,,IDBI BANK,621857
TXN00375,CHB02,Velachery,Chennai,06-05-2024,1027.92,SUCCESS,WITHDRAWAL,4974,,IDBI BANK,613403
TXN00243,CHB02,Velachery,Chennai,02-05-2024,4241.05,SUCCESS,TRANSFER,3712,,IDBI BANK,628684
TXN00013,CHB02,Velachery,Chennai,07-05-2024,644.45,SUCCESS,WITHDRAWAL,7572,,IDBI BANK,617547
TXN00179,CHB02,Velachery,Chennai,01-05-2024,4758.18,SUCCESS,WITHDRAWAL,9071,,IDBI BANK,607611
TXN00404,CHB02,Velachery,Chennai,01-05-2024,1343.26,FAILURE,WITHDRAWAL,9395,Exceeded Limit,IDBI BANK,606770
TXN00132,CHB02,Velachery,Chennai,07-05-2024,1884.25,SUCCESS,TRANSFER,5728,,IDBI BANK,628781
TXN00408,CHB02,Velachery,Chennai,04-05-2024,1741.83,FAILURE,WITHDRAWAL,8933,Insufficient Balance,IDBI BANK,623667
TXN00661,CHB02,Velachery,Chennai,06-05-2024,3229.82,FAILURE,WITHDRAWAL,3293,Technical Error,IDBI BANK,612874
TXN00241,CHB02,Velachery,Chennai,02-05-2024,1197.25,SUCCESS,WITHDRAWAL,2657,,IDBI BANK,633272
TXN00188,CHB02,Velachery,Chennai,05-05-2024,1627.94,SUCCESS,DEPOSIT,2801,,IDBI BANK,601690
TXN00224,CHB02,Velachery,Chennai,03-05-2024,1387.72,SUCCESS,TRANSFER,3504,,IDBI BANK,604939
TXN00689,CHB02,Velachery,Chennai,04-05-2024,3432.09,FAILURE,WITHDRAWAL,5281,Technical Error,IDBI BANK,627759
TXN00180,CHB02,Velachery,Chennai,05-05-2024,1110.49,SUCCESS,WITHDRAWAL,7078,,IDBI BANK,635403
