transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00617,MDB02,K.K. Nagar,Madurai,01-05-2024,2243.33,FAILURE,TRANSFER,6273,Technical Error,IDBI BANK,625210
TXN00412,MDB02,K.K. Nagar,Madurai,04-05-2024,1913.82,FAILURE,WITHDRAWAL,6228,Invalid Account,IDBI BANK,632179
TXN00680,MDB02,K.K. Nagar,Madurai,05-05-2024,3468.42,FAILURE,WITHDRAWAL,3747,Invalid Account,IDBI BANK,629719
TXN00059,MDB02,K.K. Nagar,Madurai,06-05-2024,962.57,SUCCESS,TRANSFER,7658,,IDBI BANK,610129
TXN00320,MDB02,K.K. Nagar,Madurai,05-05-2024,1962.72,SUCCESS,TRANSFER,8837,,IDBI BANK,634438
TXN00032,MDB02,K.K. Nagar,Madurai,06-05-2024,4709.81,SUCCESS,TRANSFER,8744,,IDBI BANK,615926
TXN00558,MDB02,K.K. Nagar,Madurai,03-05-2024,3432.14,FAILURE,TRANSFER,1328,Insufficient Balance,IDBI BANK,631071
TXN00586,MDB02,K.K. Nagar,Madurai,02-05-2024,3628.36,FAILURE,TRANSFER,1152,Invalid Account,IDBI BANK,627583
TXN00258,MDB02,K.K. Nagar,Madurai,03-05-2024,2431.58,SUCCESS,TRANSFER,6780,,IDBI BANK,615766
TXN00413,MDB02,K.K. Nagar,Madurai,03-05-2024,2192.25,FAILURE,WITHDRAWAL,6980,Insufficient Balance,IDBI BANK,636953
TXN00666,MDB02,K.K. Nagar,Madurai,04-05-2024,1216.5,FAILURE,TRANSFER,3395,Exceeded Limit,IDBI BANK,623515
TXN00468,MDB02,K.K. Nagar,Madurai,07-05-2024,2619.57,FAILURE,DEPOSIT,1273,Technical Error,IDBI BANK,604426
TXN00233,MDB02,K.K. Nagar,Madurai,01-05-2024,1614.85,SUCCESS,WITHDRAWAL,8199,,IDBI BANK,634346
TXN00143,MDB02,K.K. Nagar,Madurai,03-05-2024,2471.52,SUCCESS,TRANSFER,8941,,IDBI BANK,607958
TXN00338,MDB02,K.K. Nagar,Madurai,01-05-2024,3814.78,SUCCESS,WITHDRAWAL,4164,,IDBI BANK,611502
TXN00064,MDB02,K.K. Nagar,Madurai,04-05-2024,1977.18,SUCCESS,DEPOSIT,5573,,IDBI BANK,623013
TXN00491,MDB02,K.K. Nagar,Madurai,06-05-2024,4189.83,FAILURE,DEPOSIT,2020,Exceeded Limit,IDBI BANK,608567
TXN00130,MDB02,K.K. Nagar,Madurai,03-05-2024,4045.23,SUCCESS,TRANSFER,4241,,IDBI BANK,627862
TXN00510,MDB02,K.K. Nagar,Madurai,03-05-2024,2901.6,FAILURE,TRANSFER,1916,Network Error,IDBI BANK,625456
TXN00279,MDB02,K.K. Nagar,Madurai,04-05-2024,2829.85,SUCCESS,TRANSFER,2929,,IDBI BANK,617156
TXN00170,MDB02,K.K. Nagar,Madurai,06-05-2024,937.24,SUCCESS,TRANSFER,1645,,IDBI BANK,620247
