transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00560,MDB03,Thirunagar,Madurai,04-05-2024,4529.67,FAILURE,WITHDRAWAL,8520,Invalid Account,IDBI BANK,614301
TXN00291,MDB03,Thirunagar,Madurai,07-05-2024,854.87,SUCCESS,DEPOSIT,5496,,IDBI BANK,608204
TXN00594,MDB03,Thirunagar,Madurai,04-05-2024,3823.43,FAILURE,DEPOSIT,1751,Insufficient Balance,IDBI BANK,609070
TXN00077,MDB03,Thirunagar,Madurai,02-05-2024,4129.53,SUCCESS,DEPOSIT,1400,,IDBI BANK,603029
TXN00377,MDB03,Thirunagar,Madurai,03-05-2024,1677.03,SUCCESS,TRANSFER,9147,,IDBI BANK,630541
TXN00072,MDB03,Thirunagar,Madurai,05-05-2024,1072.8,SUCCESS,WITHDRAWAL,7211,,IDBI BANK,611406
TXN00614,MDB03,Thirunagar,Madurai,01-05-2024,3907.17,FAILURE,DEPOSIT,3018,Exceeded Limit,IDBI BANK,629976
TXN00627,MDB03,Thirunagar,Madurai,06-05-2024,3490.22,FAILURE,WITHDRAWAL,7349,Exceeded Limit,IDBI BANK,620491
TXN00184,MDB03,Thirunagar,Madurai,01-05-2024,2291.63,SUCCESS,DEPOSIT,3001,,IDBI BANK,629801
TXN00448,MDB03,Thirunagar,Madurai,06-05-2024,2364.01,FAILURE,WITHDRAWAL,2237,Insufficient Balance,IDBI BANK,626402
TXN00213,MDB03,Thirunagar,Madurai,01-05-2024,1492.33,SUCCESS,TRANSFER,1897,,IDBI BANK,600504
TXN00071,MDB03,Thirunagar,Madurai,05-05-2024,1891.78,SUCCESS,WITHDRAWAL,6344,,IDBI BANK,626372
TXN00651,MDB03,Thirunagar,Madurai,01-05-2024,2990.86,FAILURE,TRANSFER,3316,Insufficient Balance,IDBI BANK,602738
TXN00061,MDB03,Thirunagar,Madurai,07-05-2024,4688.67,SUCCESS,TRANSFER,5065,,IDBI BANK,617486
TXN00166,MDB03,Thirunagar,Madurai,04-05-2024,4303.87,SUCCESS,DEPOSIT,7302,,IDBI BANK,631668
TXN00449,MDB03,Thirunagar,Madurai,06-05-2024,4713.51,FAILURE,WITHDRAWAL,8449,Exceeded Limit,IDBI BANK,621450
TXN00644,MDB03,Thirunagar,Madurai,01-05-2024,893.84,FAILURE,DEPOSIT,3916,Invalid Account,IDBI BANK,636575
TXN00671,MDB03,Thirunagar,Madurai,04-05-2024,4877.03,FAILURE,DEPOSIT,9460,Exceeded Limit,IDBI BANK,623128
TXN00327,MDB03,Thirunagar,Madurai,06-05-2024,2655.86,SUCCESS,DEPOSIT,9824,,IDBI BANK,617769
TXN00273,MDB03,Thirunagar,Madurai,05-05-2024,4991.68,SUCCESS,WITHDRAWAL,1939,,IDBI BANK,604918
TXN00520,MDB03,Thirunagar,Madurai,02-05-2024,1299.69,FAILURE,DEPOSIT,7415,Technical Error,IDBI BANK,602123
TXN00478,MDB03,Thirunagar,Madurai,01-05-2024,2748.25,FAILURE,TRANSFER,3734,Invalid Account,IDBI BANK,610310
TXN00658,MDB03,Thirunagar,Madurai,06-05-2024,3128.76,FAILURE,TRANSFER,6971,Invalid Account,IDBI BANK,628070
TXN00118,MDB03,Thirunagar,Madurai,01-05-2024,4246.83,SUCCESS,WITHDRAWAL,4727,,IDBI BANK,623651
TXN00159,MDB03,Thirunagar,Madurai,02-05-2024,3860.45,SUCCESS,WITHDRAWAL,2612,,IDBI BANK,606587
