transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00390,SLB04,Hasthampatti,Salem,01-05-2024,2178.73,FAILURE,WITHDRAWAL,8520,Technical Error,IDBI BANK,615939
TXN00278,SLB04,Hasthampatti,Salem,03-05-2024,3423.02,SUCCESS,DEPOSIT,2858,,IDBI BANK,601699
TXN00534,SLB04,Hasthampatti,Salem,04-05-2024,4526.95,FAILURE,WITHDRAWAL,2493,Technical Error,IDBI BANK,625397
TXN00550,SLB04,Hasthampatti,Salem,07-05-2024,4216.2,FAILURE,WITHDRAWAL,7828,Technical Error,IDBI BANK,605852
TXN00393,SLB04,Hasthampatti,Salem,06-05-2024,4029.69,FAILURE,TRANSFER,2562,Technical Error,IDBI BANK,602789
TXN00039,SLB04,Hasthampatti,Salem,04-05-2024,1461.86,SUCCESS,WITHDRAWAL,1960,,IDBI BANK,610790
TXN00406,SLB04,Hasthampatti,Salem,04-05-2024,4006.26,FAILURE,TRANSFER,4977,Technical Error,IDBI BANK,634152
TXN00497,SLB04,Hasthampatti,Salem,05-05-2024,720.28,FAILURE,WITHDRAWAL,5262,Network Error,IDBI BANK,602037
TXN00593,SLB04,Hasthampatti,Salem,01-05-2024,949.14,FAILURE,DEPOSIT,1646,Invalid Account,IDBI BANK,623608
TXN00105,SLB04,Hasthampatti,Salem,01-05-2024,2450.86,SUCCESS,WITHDRAWAL,8532,,IDBI BANK,610027
TXN00172,SLB04,Hasthampatti,Salem,02-05-2024,1403.58,SUCCESS,TRANSFER,6994,,IDBI BANK,634790
TXN00330,SLB04,Hasthampatti,Salem,01-05-2024,3565.36,SUCCESS,DEPOSIT,1084,,IDBI BANK,636068
TXN00280,SLB04,Hasthampatti,Salem,02-05-2024,4983.64,SUCCESS,WITHDRAWAL,9047,,IDBI BANK,613119
TXN00107,SLB04,Hasthampatti,Salem,04-05-2024,4215.81,SUCCESS,TRANSFER,5397,,IDBI BANK,621123
TXN00368,SLB04,Hasthampatti,Salem,04-05-2024,1171.48,SUCCESS,WITHDRAWAL,4012,,IDBI BANK,635254
TXN00194,SLB04,Hasthampatti,Salem,01-05-2024,4546.7,SUCCESS,WITHDRAWAL,3430,,IDBI BANK,604305
TXN00288,SLB04,Hasthampatti,Salem,06-05-2024,2828.12,SUCCESS,DEPOSIT,3981,,IDBI BANK,608457
TXN00211,SLB04,Hasthampatti,Salem,04-05-2024,3231.84,SUCCESS,WITHDRAWAL,5475,,IDBI BANK,614128
TXN00158,SLB04,Hasthampatti,Salem,07-05-2024,2934.57,SUCCESS,TRANSFER,2121,,IDBI BANK,615386
TXN00303,SLB04,Hasthampatti,Salem,03-05-2024,2738.17,SUCCESS,DEPOSIT,7442,,IDBI BANK,633125
TXN00566,SLB04,Hasthampatti,Salem,04-05-2024,3815.29,FAILURE,TRANSFER,4111,Invalid Account,IDBI BANK,614573
TXN00015,SLB04,Hasthampatti,Salem,02-05-2024,1691.96,SUCCESS,DEPOSIT,9830,,IDBI BANK,617220
TXN00033,SLB04,Hasthampatti,Salem,02-05-2024,924.47,SUCCESS,TRANSFER,8062,,IDBI BANK,623220
