transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00101,SLB01,Fairlands,Salem,05-05-2024,615.55,SUCCESS,WITHDRAWAL,7149,,IDBI BANK,625996
TXN00155,SLB01,Fairlands,Salem,05-05-2024,4596.99,SUCCESS,DEPOSIT,3361,,IDBI BANK,626869
TXN00307,SLB01,Fairlands,Salem,04-05-2024,730.21,SUCCESS,TRANSFER,4189,,IDBI BANK,623759
TXN00372,SLB01,Fairlands,Salem,05-05-2024,3760.63,SUCCESS,DEPOSIT,1844,,IDBI BANK,617594
TXN00045,SLB01,Fairlands,Salem,05-05-2024,1607.97,SUCCESS,TRANSFER,1651,,IDBI BANK,605373
TXN00109,SLB01,Fairlands,Salem,04-05-2024,4329.29,SUCCESS,DEPOSIT,8988,,IDBI BANK,613902
TXN00249,SLB01,Fairlands,Salem,07-05-2024,1221.41,SUCCESS,WITHDRAWAL,9410,,IDBI BANK,609657
TXN00697,SLB01,Fairlands,Salem,02-05-2024,4327.55,FAILURE,TRANSFER,5685,Network Error,IDBI BANK,602203
TXN00237,SLB01,Fairlands,Salem,05-05-2024,3486.25,SUCCESS,WITHDRAWAL,6082,,IDBI BANK,625688
TXN00557,SLB01,Fairlands,Salem,04-05-2024,723.43,FAILURE,TRANSFER,4511,Network Error,IDBI BANK,614753
TXN00193,SLB01,Fairlands,Salem,01-05-2024,4993.64,SUCCESS,WITHDRAWAL,7984,,IDBI BANK,607076
TXN00607,SLB01,Fairlands,Salem,04-05-2024,3853.58,FAILURE,DEPOSIT,2681,Exceeded Limit,IDBI BANK,627024
TXN00459,SLB01,Fairlands,Salem,02-05-2024,2223.81,FAILURE,TRANSFER,2678,Insufficient Balance,IDBI BANK,620536
TXN00271,SLB01,Fairlands,Salem,01-05-2024,1975.64,SUCCESS,WITHDRAWAL,6021,,IDBI BANK,629224
TXN00582,SLB01,Fairlands,Salem,02-05-2024,1509.45,FAILURE,DEPOSIT,4460,Insufficient Balance,IDBI BANK,633072
TXN00379,SLB01,Fairlands,Salem,05-05-2024,4388.38,SUCCESS,TRANSFER,3390,,IDBI BANK,601063
TXN00532,SLB01,Fairlands,Salem,04-05-2024,894.33,FAILURE,TRANSFER,8869,Network Error,IDBI BANK,606357
TXN00175,SLB01,Fairlands,Salem,07-05-2024,2275.59,SUCCESS,WITHDRAWAL,9791,,IDBI BANK,608100
TXN00048,SLB01,Fairlands,Salem,01-05-2024,2562.28,SUCCESS,TRANSFER,2638,,IDBI BANK,604802
TXN00544,SLB01,Fairlands,Salem,04-05-2024,1173.39,FAILURE,TRANSFER,2641,Insufficient Balance,IDBI BANK,636877
TXN00024,SLB01,Fairlands,Salem,01-05-2024,4680.94,SUCCESS,WITHDRAWAL,4923,,IDBI BANK,603797
TXN00040,SLB01,Fairlands,Salem,04-05-2024,1693.41,SUCCESS,WITHDRAWAL,5673,,IDBI BANK,627723
TXN00388,SLB01,Fairlands,Salem,05-05-2024,4159.21,FAILURE,TRANSFER,8054,Network Error,IDBI BANK,607014
TXN00031,SLB01,Fairlands,Salem,05-05-2024,1571.02,SUCCESS,TRANSFER,8953,,IDBI BANK,614041
TXN00563,SLB01,Fairlands,Salem,03-05-2024,4947.62,FAILURE,TRANSFER,6327,Invalid Account,IDBI BANK,617115
TXN00171,SLB01,Fairlands,Salem,05-05-2024,2141.88,SUCCESS,DEPOSIT,2476,,IDBI BANK,619341
TXN00662,SLB01,Fairlands,Salem,06-05-2024,839.3,FAILURE,DEPOSIT,9309,Insufficient Balance,IDBI BANK,626551
TXN00479,SLB01,Fairlands,Salem,05-05-2024,3533.54,FAILURE,DEPOSIT,4742,Technical Error,IDBI BANK,600169
TXN00350,SLB01,Fairlands,Salem,06-05-2024,1424.31,SUCCESS,TRANSFER,9008,,IDBI BANK,605960
TXN00403,SLB01,Fairlands,Salem,01-05-2024,523.38,FAILURE,WITHDRAWAL,8286,Invalid Account,IDBI BANK,617680
TXN00217,SLB01,Fairlands,Salem,04-05-2024,584.34,SUCCESS,DEPOSIT,6129,,IDBI BANK,628134
TXN00634,SLB01,Fairlands,Salem,07-05-2024,3684.57,FAILURE,TRANSFER,4603,Network Error,IDBI BANK,634119
TXN00500,SLB01,Fairlands,Salem,05-05-2024,3137.53,FAILURE,DEPOSIT,1357,Insufficient Balance,IDBI BANK,612960
TXN00685,SLB01,Fairlands,Salem,06-05-2024,2884.17,FAILURE,DEPOSIT,8899,Exceeded Limit,IDBI BANK,622972
TXN00326,SLB01,Fairlands,Salem,03-05-2024,4798.91,SUCCESS,DEPOSIT,6674,,IDBI BANK,628992
TXN00639,SLB01,Fairlands,Salem,04-05-2024,1654.66,FAILURE,TRANSFER,5633,Insufficient Balance,IDBI BANK,633874
TXN00227,SLB01,Fairlands,Salem,04-05-2024,2489.94,SUCCESS,WITHDRAWAL,5500,,IDBI BANK,603682
TXN00054,SLB01,Fairlands,Salem,01-05-2024,3354.28,SUCCESS,WITHDRAWAL,1722,,IDBI BANK,600233
TXN00464,SLB01,Fairlands,Salem,02-05-2024,2990.28,FAILURE,TRANSFER,5668,Insufficient Balance,IDBI BANK,619769
TXN00612,SLB01,Fairlands,Salem,01-05-2024,4535.95,FAILURE,WITHDRAWAL,3301,Exceeded Limit,IDBI BANK,607010
TXN00400,SLB01,Fairlands,Salem,06-05-2024,1729.97,FAILURE,WITHDRAWAL,9038,Network Error,IDBI BANK,623319
TXN00623,SLB01,Fairlands,Salem,05-05-2024,979.12,FAILURE,WITHDRAWAL,3381,Insufficient Balance,IDBI BANK,603710
TXN00262,SLB01,Fairlands,Salem,03-05-2024,1585.07,SUCCESS,TRANSFER,2698,,IDBI BANK,621792
TXN00099,SLB01,Fairlands,Salem,05-05-2024,4764.91,SUCCESS,WITHDRAWAL,5198,,IDBI BANK,624176
TXN00261,SLB01,Fairlands,Salem,06-05-2024,2240.97,SUCCESS,WITHDRAWAL,5155,,IDBI BANK,601065
TXN00154,SLB01,Fairlands,Salem,02-05-2024,2760.31,SUCCESS,TRANSFER,6439,,IDBI BANK,606578
TXN00124,SLB01,Fairlands,Salem,02-05-2024,1033.03,SUCCESS,WITHDRAWAL,4697,,IDBI BANK,634248
TXN00554,SLB01,Fairlands,Salem,03-05-2024,3670.85,FAILURE,WITHDRAWAL,7035,Exceeded Limit,IDBI BANK,633104
TXN00555,SLB01,Fairlands,Salem,06-05-2024,637.53,FAILURE,WITHDRAWAL,9008,Technical Error,IDBI BANK,629236
TXN00236,SLB01,Fairlands,Salem,05-05-2024,3552.71,SUCCESS,WITHDRAWAL,5128,,IDBI BANK,609855
TXN00070,SLB01,Fairlands,Salem,06-05-2024,4643.47,SUCCESS,TRANSFER,6143,,IDBI BANK,608168
TXN00250,SLB01,Fairlands,Salem,02-05-2024,4175.16,SUCCESS,WITHDRAWAL,1436,,IDBI BANK,627191
TXN00232,SLB01,Fairlands,Salem,07-05-2024,4546.07,SUCCESS,WITHDRAWAL,2381,,IDBI BANK,633067
