transaction_id,branch_id,branch_name,city,transaction_date,amount,status,transaction_type,customer_id,error_message,bank_name,pincode
TXN00414,CHB05,Tambaram,Chennai,05-05-2024,1309.67,FAILURE,TRANSFER,1440,Exceeded Limit,IDBI BANK,613740
TXN00141,MDB05,Tallakulam,Madurai,04-05-2024,2359.61,SUCCESS,DEPOSIT,9494,"",IDBI BANK,623710
TXN00165,MDB05,Tallakulam,Madurai,02-05-2024,832.38,SUCCESS,WITHDRAWAL,5901,"",IDBI BANK,627808
TXN00410,CHB03,Adyar,Chennai,01-05-2024,4769.71,FAILURE,WITHDRAWAL,7224,Invalid Account,IDBI BANK,628851
TXN00234,MDB05,Tallakulam,Madurai,02-05-2024,2137.54,SUCCESS,WITHDRAWAL,7347,"",IDBI BANK,626790
TXN00046,SLB05,Ammapet,Salem,05-05-2024,2852.52,SUCCESS,WITHDRAWAL,4346,"",IDBI BANK,620591
TXN00562,CHB05,Tambaram,Chennai,06-05-2024,4849.18,FAILURE,WITHDRAWAL,5631,Invalid Account,IDBI BANK,607085
TXN00272,MDB04,Simmakkal,Madurai,02-05-2024,3603.94,SUCCESS,WITHDRAWAL,8325,"",IDBI BANK,602776
TXN00687,SLB05,Ammapet,Salem,05-05-2024,2338.91,FAILURE,DEPOSIT,1089,Insufficient Balance,IDBI BANK,634246
TXN00489,CHB04,Guindy,Chennai,04-05-2024,4825.33,FAILURE,DEPOSIT,5584,Insufficient Balance,IDBI BANK,602878
TXN00456,CHB04,Guindy,Chennai,06-05-2024,1874.79,FAILURE,TRANSFER,4836,Exceeded Limit,IDBI BANK,605977
TXN00193,SLB01,Fairlands,Salem,01-05-2024,4993.64,SUCCESS,WITHDRAWAL,7984,"",IDBI BANK,607076
TXN00268,CHB03,Adyar,Chennai,04-05-2024,4502.69,SUCCESS,TRANSFER,8204,"",IDBI BANK,625340
TXN00378,CHB04,Guindy,Chennai,07-05-2024,4278.79,SUCCESS,DEPOSIT,7073,"",IDBI BANK,620508
TXN00588,MDB05,Tallakulam,Madurai,01-05-2024,1772.18,FAILURE,DEPOSIT,9154,Network Error,IDBI BANK,613091
TXN00698,MDB05,Tallakulam,Madurai,05-05-2024,3643.02,FAILURE,TRANSFER,3776,Insufficient Balance,IDBI BANK,623576
TXN00416,CHB03,Adyar,Chennai,06-05-2024,1193.64,FAILURE,WITHDRAWAL,7176,Insufficient Balance,IDBI BANK,629431
TXN00082,CHB04,Guindy,Chennai,06-05-2024,2890.09,SUCCESS,TRANSFER,6198,"",IDBI BANK,629005
TXN00604,MDB04,Simmakkal,Madurai,07-05-2024,2731.26,FAILURE,DEPOSIT,2226,Exceeded Limit,IDBI BANK,621014
TXN00389,CHB05,Tambaram,Chennai,02-05-2024,1584.36,FAILURE,TRANSFER,9625,Invalid Account,IDBI BANK,623229
TXN00126,MDB05,Tallakulam,Madurai,01-05-2024,3243.34,SUCCESS,TRANSFER,2625,"",IDBI BANK,613618
TXN00237,SLB01,Fairlands,Salem,05-05-2024,3486.25,SUCCESS,WITHDRAWAL,6082,"",IDBI BANK,625688
TXN00120,CHB05,Tambaram,Chennai,03-05-2024,3638.38,SUCCESS,DEPOSIT,9042,"",IDBI BANK,606724
TXN00572,CHB04,Guindy,Chennai,05-05-2024,1842.6,FAILURE,DEPOSIT,3470,Network Error,IDBI BANK,613127
TXN00078,CHB04,Guindy,Chennai,05-05-2024,4323.82,SUCCESS,DEPOSIT,8461,"",IDBI BANK,627161
TXN00341,CHB03,Adyar,Chennai,04-05-2024,1559.85,SUCCESS,WITHDRAWAL,6400,"",IDBI BANK,619789
TXN00640,SLB05,Ammapet,Salem,07-05-2024,2789.31,FAILURE,WITHDRAWAL,1718,Invalid Account,IDBI BANK,612617
TXN00434,SLB05,Ammapet,Salem,02-05-2024,3086.63,FAILURE,WITHDRAWAL,4043,Exceeded Limit,IDBI BANK,635218
TXN00553,MDB05,Tallakulam,Madurai,01-05-2024,1281.82,FAILURE,DEPOSIT,1944,Network Error,IDBI BANK,602168
TXN00647,MDB05,Tallakulam,Madurai,01-05-2024,3901.82,FAILURE,TRANSFER,1745,Insufficient Balance,IDBI BANK,623443
TXN00445,CHB03,Adyar,Chennai,06-05-2024,1816.86,FAILURE,TRANSFER,5380,Technical Error,IDBI BANK,606241
TXN00175,SLB01,Fairlands,Salem,07-05-2024,2275.59,SUCCESS,WITHDRAWAL,9791,"",IDBI BANK,608100
TXN00170,MDB02,K.K. Nagar,Madurai,06-05-2024,937.24,SUCCESS,TRANSFER,1645,"",IDBI BANK,620247
TXN00307,SLB01,Fairlands,Salem,04-05-2024,730.21,SUCCESS,TRANSFER,4189,"",IDBI BANK,623759
TXN00639,SLB01,Fairlands,Salem,04-05-2024,1654.66,FAILURE,TRANSFER,5633,Insufficient Balance,IDBI BANK,633874
TXN00233,MDB02,K.K. Nagar,Madurai,01-05-2024,1614.85,SUCCESS,WITHDRAWAL,8199,"",IDBI BANK,634346
TXN00635,CHB05,Tambaram,Chennai,02-05-2024,2371.69,FAILURE,TRANSFER,7609,Insufficient Balance,IDBI BANK,622899
TXN00122,CHB03,Adyar,Chennai,07-05-2024,2649.78,SUCCESS,DEPOSIT,7565,"",IDBI BANK,632228
TXN00683,CHB04,Guindy,Chennai,05-05-2024,3199.16,FAILURE,TRANSFER,9246,Insufficient Balance,IDBI BANK,606108
TXN00546,MDB04,Simmakkal,Madurai,05-05-2024,3240.33,FAILURE,DEPOSIT,3821,Invalid Account,IDBI BANK,626410
TXN00155,SLB01,Fairlands,Salem,05-05-2024,4596.99,SUCCESS,DEPOSIT,3361,"",IDBI BANK,626869
TXN00590,MDB04,Simmakkal,Madurai,02-05-2024,3596.92,FAILURE,WITHDRAWAL,6416,Network Error,IDBI BANK,600180
TXN00346,MDB05,Tallakulam,Madurai,04-05-2024,3908.08,SUCCESS,TRANSFER,4578,"",IDBI BANK,616218
TXN00041,MDB05,Tallakulam,Madurai,06-05-2024,3732.84,SUCCESS,DEPOSIT,4111,"",IDBI BANK,619446
TXN00230,SLB05,Ammapet,Salem,05-05-2024,4794.04,SUCCESS,TRANSFER,1672,"",IDBI BANK,629474
TXN00214,CHB03,Adyar,Chennai,02-05-2024,3953.07,SUCCESS,WITHDRAWAL,5742,"",IDBI BANK,621504
TXN00047,CHB03,Adyar,Chennai,04-05-2024,1088.95,SUCCESS,TRANSFER,5915,"",IDBI BANK,629965
TXN00696,MDB05,Tallakulam,Madurai,03-05-2024,3702.23,FAILURE,TRANSFER,1941,Network Error,IDBI BANK,632399
TXN00057,CHB03,Adyar,Chennai,05-05-2024,2986.36,SUCCESS,WITHDRAWAL,3088,"",IDBI BANK,602742
TXN00168,CHB04,Guindy,Chennai,03-05-2024,536.44,SUCCESS,TRANSFER,1803,"",IDBI BANK,632554
TXN00274,MDB04,Simmakkal,Madurai,03-05-2024,2808.89,SUCCESS,TRANSFER,3621,"",IDBI BANK,602041
TXN00481,CHB05,Tambaram,Chennai,07-05-2024,4612.76,FAILURE,TRANSFER,7870,Network Error,IDBI BANK,621090
TXN00099,SLB01,Fairlands,Salem,05-05-2024,4764.91,SUCCESS,WITHDRAWAL,5198,"",IDBI BANK,624176
TXN00556,CHB04,Guindy,Chennai,05-05-2024,2981.0,FAILURE,WITHDRAWAL,3679,Invalid Account,IDBI BANK,605924
TXN00543,SLB05,Ammapet,Salem,03-05-2024,4354.81,FAILURE,TRANSFER,8506,Insufficient Balance,IDBI BANK,634247
TXN00530,CHB03,Adyar,Chennai,02-05-2024,4884.79,FAILURE,WITHDRAWAL,9849,Invalid Account,IDBI BANK,618450
TXN00646,MDB04,Simmakkal,Madurai,04-05-2024,1923.82,FAILURE,WITHDRAWAL,2938,Technical Error,IDBI BANK,600387
TXN00076,SLB05,Ammapet,Salem,06-05-2024,3348.23,SUCCESS,WITHDRAWAL,2530,"",IDBI BANK,615393
TXN00620,SLB05,Ammapet,Salem,06-05-2024,1478.04,FAILURE,DEPOSIT,5760,Invalid Account,IDBI BANK,608695
TXN00285,CHB03,Adyar,Chennai,05-05-2024,3075.25,SUCCESS,WITHDRAWAL,3126,"",IDBI BANK,605651
TXN00248,CHB04,Guindy,Chennai,07-05-2024,2170.45,SUCCESS,DEPOSIT,9452,"",IDBI BANK,608171
TXN00161,CHB03,Adyar,Chennai,03-05-2024,2186.78,SUCCESS,DEPOSIT,5000,"",IDBI BANK,634811
TXN00491,MDB02,K.K. Nagar,Madurai,06-05-2024,4189.83,FAILURE,DEPOSIT,2020,Exceeded Limit,IDBI BANK,608567
TXN00528,CHB04,Guindy,Chennai,02-05-2024,3793.93,FAILURE,TRANSFER,2525,Invalid Account,IDBI BANK,631637
TXN00510,MDB02,K.K. Nagar,Madurai,03-05-2024,2901.6,FAILURE,TRANSFER,1916,Network Error,IDBI BANK,625456
TXN00315,MDB04,Simmakkal,Madurai,03-05-2024,4851.82,SUCCESS,TRANSFER,4728,"",IDBI BANK,603366
TXN00582,SLB01,Fairlands,Salem,02-05-2024,1509.45,FAILURE,DEPOSIT,4460,Insufficient Balance,IDBI BANK,633072
TXN00298,SLB05,Ammapet,Salem,02-05-2024,1906.62,SUCCESS,TRANSFER,6231,"",IDBI BANK,622635
TXN00051,CHB05,Tambaram,Chennai,03-05-2024,4692.9,SUCCESS,DEPOSIT,3200,"",IDBI BANK,617333
TXN00023,CHB03,Adyar,Chennai,07-05-2024,1226.97,SUCCESS,TRANSFER,1009,"",IDBI BANK,621244
TXN00216,MDB02,K.K. Nagar,Madurai,05-05-2024,3014.26,SUCCESS,TRANSFER,6802,"",IDBI BANK,604724
TXN00441,MDB04,Simmakkal,Madurai,05-05-2024,1483.44,FAILURE,WITHDRAWAL,2677,Network Error,IDBI BANK,619511
TXN00677,CHB05,Tambaram,Chennai,02-05-2024,751.6,FAILURE,WITHDRAWAL,3949,Technical Error,IDBI BANK,626572
TXN00347,MDB05,Tallakulam,Madurai,07-05-2024,4043.17,SUCCESS,TRANSFER,8319,"",IDBI BANK,634615
TXN00569,CHB03,Adyar,Chennai,06-05-2024,901.85,FAILURE,WITHDRAWAL,4659,Invalid Account,IDBI BANK,627557
TXN00262,SLB01,Fairlands,Salem,03-05-2024,1585.07,SUCCESS,TRANSFER,2698,"",IDBI BANK,621792
TXN00019,SLB05,Ammapet,Salem,04-05-2024,2881.01,SUCCESS,TRANSFER,1188,"",IDBI BANK,607508
TXN00270,CHB04,Guindy,Chennai,01-05-2024,2437.73,SUCCESS,DEPOSIT,9937,"",IDBI BANK,619253
TXN00246,SLB05,Ammapet,Salem,04-05-2024,2577.56,SUCCESS,WITHDRAWAL,7256,"",IDBI BANK,632959
TXN00329,CHB05,Tambaram,Chennai,02-05-2024,3370.75,SUCCESS,DEPOSIT,2641,"",IDBI BANK,627087
TXN00685,SLB01,Fairlands,Salem,06-05-2024,2884.17,FAILURE,DEPOSIT,8899,Exceeded Limit,IDBI BANK,622972
TXN00609,CHB04,Guindy,Chennai,03-05-2024,2135.04,FAILURE,DEPOSIT,4652,Exceeded Limit,IDBI BANK,621757
TXN00526,SLB05,Ammapet,Salem,04-05-2024,956.43,FAILURE,WITHDRAWAL,4695,Network Error,IDBI BANK,629576
TXN00552,CHB05,Tambaram,Chennai,07-05-2024,1215.38,FAILURE,WITHDRAWAL,9303,Exceeded Limit,IDBI BANK,608890
TXN00196,MDB05,Tallakulam,Madurai,03-05-2024,2541.72,SUCCESS,TRANSFER,8048,"",IDBI BANK,606500
TXN00501,MDB04,Simmakkal,Madurai,07-05-2024,1079.56,FAILURE,WITHDRAWAL,3007,Insufficient Balance,IDBI BANK,630212
TXN00555,SLB01,Fairlands,Salem,06-05-2024,637.53,FAILURE,WITHDRAWAL,9008,Technical Error,IDBI BANK,629236
TXN00314,CHB03,Adyar,Chennai,03-05-2024,3532.13,SUCCESS,WITHDRAWAL,6040,"",IDBI BANK,601747
TXN00446,CHB04,Guindy,Chennai,01-05-2024,4966.19,FAILURE,TRANSFER,3078,Network Error,IDBI BANK,616363
TXN00068,CHB04,Guindy,Chennai,05-05-2024,1355.35,SUCCESS,DEPOSIT,8144,"",IDBI BANK,600111
TXN00396,CHB05,Tambaram,Chennai,02-05-2024,3885.15,FAILURE,TRANSFER,7525,Insufficient Balance,IDBI BANK,619614
TXN00249,SLB01,Fairlands,Salem,07-05-2024,1221.41,SUCCESS,WITHDRAWAL,9410,"",IDBI BANK,609657
TXN00220,CHB04,Guindy,Chennai,07-05-2024,976.38,SUCCESS,WITHDRAWAL,7560,"",IDBI BANK,634339
